N° auto;nom;région administrative;adresse;code INSEE;commune;population de la commune;DEP;N°UU;unité urbaine;population unité urbaine;situation géographique;écrans;fauteuils;semaines d'activité;séances;entrées 2020;entrées 2019;évolution entrées;tranche d'entrées;propriétaire;programmateur;AE;catégorie Art et Essai;label Art et Essai;genre;multiplexe;zone de la commune;nombre de films programmés;nombre de films inédits;nombre de films en semaine 1;PdM en entrées des films français;PdM en entrées des films américains;PdM en entrées des films européens;PdM en entrées des autres films;films Art et Essai;part des séances de films Art et Essai;PdM en entrées des films Art et Essai;latitude;longitude
12;UGC GEORGE V;ILE-DE-FRANCE;146 AVENUE DES CHAMPS ELYSEES;75108;Paris 8e Arrondissement;36694;75;00851;Paris;10706072;01-Paris;11;1666;11;5 033;81 917;412 142;-0,8;De 80 à 100 000 entrées;UGC SAS;UGC DIFFUSION;NON;NON;;FIXE;OUI;C;79;44;39;38,0;46,5;14,0;1,6;37;30,1;29,1;48.873073;2.298394
31;UGC NORMANDIE;ILE-DE-FRANCE;116 AVENUE DES CHAMPS ELYSEES;75108;Paris 8e Arrondissement;36694;75;00851;Paris;10706072;01-Paris;4;1610;31;3 360;75 648;202 673;-0,6;De 50 à 80 000 entrées;UGC SAS;UGC DIFFUSION;NON;NON;;FIXE;NON;C;80;47;39;41,1;36,0;19,2;3,7;43;57,6;52,8;48.872265;2.300938
35;BALZAC;ILE-DE-FRANCE;1 RUE BALZAC;75108;Paris 8e Arrondissement;36694;75;00851;Paris;10706072;01-Paris;3;589;29;2 389;45 293;118 069;-0,6;De 40 à 50 000 entrées;CINELBA;;OUI;A;RD;FIXE;NON;C;102;43;28;61,0;4,0;19,6;15,4;76;82,8;81,3;48.872431;2.299525
54;GAUMONT CHAMPS ELYSEES MARIGNAN;ILE-DE-FRANCE;27/33 AVENUE DES CHAMPS ELYSEES;75108;Paris 8e Arrondissement;36694;75;00851;Paris;10706072;01-Paris;6;1597;31;5 341;80 996;277 795;-0,7;De 80 à 100 000 entrées;LES CINEMAS PATHE GAUMONT;LES CINEMAS GAUMONT PATHE;NON;NON;;FIXE;NON;C;99;65;61;24,3;59,4;14,7;1,7;24;23,6;22,0;48.869654;2.306873
55;ELYSEES LINCOLN;ILE-DE-FRANCE;14 RUE LINCOLN;75108;Paris 8e Arrondissement;36694;75;00851;Paris;10706072;01-Paris;3;448;29;2 742;19 379;49 579;-0,6;De 10 à 20 000 entrées;STUDIO DU DRAGON;;OUI;A;RD;FIXE;NON;C;75;59;53;48,8;5,6;26,4;19,2;61;88,7;87,6;48.870512;2.303157
204; UGC OPERA;ILE-DE-FRANCE;32 BD DES ITALIENS;75109;Paris 9e Arrondissement;59408;75;00851;Paris;10706072;01-Paris;4;760;31;3 422;55 232;178 752;-0,7;De 50 à 80 000 entrées;UGC SAS;UGC DIFFUSION;NON;NON;;FIXE;NON;C;64;41;41;47,2;42,3;10,5;0,0;33;49,2;53,3;48.871332;2.335302
301;MAX LINDER;ILE-DE-FRANCE;24 BD POISSONNIERE;75109;Paris 9e Arrondissement;59408;75;00851;Paris;10706072;01-Paris;1;591;31;852;37 409;421 267;-0,9;De 30 à 40 000 entrées;PARAFRANCE COMMUNICATION;;OUI;A;;FIXE;NON;C;80;12;8;7,0;50,0;35,6;7,5;64;50,8;53,7;48.871363;2.344886
311;GRAND REX;ILE-DE-FRANCE;5 BD POISSONNIERE;75102;Paris 2e Arrondissement;20796;75;00851;Paris;10706072;01-Paris;7;4274;29;5 026;148 381;123 832;0,2;De 100 à 150 000 entrées;THEATRE LE REX;UGC DIFFUSION;NON;NON;;FIXE;NON;C;246;56;52;16,4;55,9;17,1;10,7;81;12,8;16,5;48.86872;2.347608
321;PATHE;ILE-DE-FRANCE;32 RUE LOUIS LEGRAND;75102;Paris 2e Arrondissement;20796;75;00851;Paris;10706072;01-Paris;6;1138;31;5 355;123 537;736 722;-0,8;De 100 à 150 000 entrées;GAUMONT;LES CINEMAS GAUMONT PATHE;NON;NON;;FIXE;NON;C;90;63;59;36,8;37,7;22,7;2,9;47;51,4;47,9;48.870632;2.334338
451;UGC MONTPARNASSE;ILE-DE-FRANCE;83 BD DU MONTPARNASSE;75106;Paris 6e Arrondissement;42428;75;00851;Paris;10706072;01-Paris;7;1592;31;6 061;124 223;356 071;-0,7;De 100 à 150 000 entrées;UGC SAS;UGC DIFFUSION;NON;NON;;FIXE;NON;C;101;68;63;43,6;38,3;15,7;2,4;45;35,1;39,6;48.84351;2.325646
